serial_number,model,duration,event_observed,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_194_raw,smart_197_raw,smart_198_raw
ZL20P5N3,ST16000NM001G,90,0,0.0,43013.0,0.0,0.0,35.0,0.0,0.0
ZL20QHXL,ST16000NM001G,90,0,0.0,45427.0,0.0,0.0,30.0,0.0,0.0
ZL20QW84,ST16000NM001G,90,0,0.0,42099.0,0.0,0.0,30.0,0.0,0.0
ZL20R80A,ST16000NM001G,90,0,0.0,42087.0,0.0,0.0,37.0,0.0,0.0
ZL20RLSR,ST16000NM001G,90,0,0.0,39577.0,0.0,0.0,32.0,0.0,0.0
ZL20SDZL,ST16000NM001G,90,0,0.0,44309.0,0.0,0.0,34.0,0.0,0.0
ZL20T19E,ST16000NM001G,90,0,0.0,39574.0,0.0,0.0,37.0,0.0,0.0
ZL20T20W,ST16000NM001G,90,0,0.0,44302.0,0.0,4295032833.0,37.0,0.0,0.0
ZL20T5AA,ST16000NM001G,51,0,0.0,1193.0,0.0,0.0,42.0,0.0,0.0
ZL20X33L,ST16000NM001G,90,0,0.0,42084.0,0.0,0.0,32.0,0.0,0.0
ZL20XBX1,ST16000NM001G,90,0,0.0,44336.0,0.0,0.0,36.0,0.0,0.0
ZL20XNN2,ST16000NM001G,90,0,0.0,42762.0,0.0,0.0,35.0,0.0,0.0
ZL20YVCP,ST16000NM001G,90,0,0.0,44336.0,0.0,0.0,37.0,0.0,0.0
ZL20Z84Z,ST16000NM001G,90,0,0.0,45356.0,0.0,0.0,27.0,0.0,0.0
ZL20ZCJ7,ST16000NM001G,90,0,0.0,44323.0,0.0,0.0,37.0,0.0,0.0
ZL21142L,ST16000NM001G,90,0,0.0,43004.0,1.0,0.0,37.0,0.0,0.0
ZL211KRZ,ST16000NM001G,90,0,0.0,42087.0,0.0,0.0,39.0,0.0,0.0
ZL211N49,ST16000NM001G,90,0,8.0,44331.0,0.0,0.0,41.0,0.0,0.0
ZL2127FK,ST16000NM001G,90,0,0.0,42776.0,0.0,0.0,36.0,0.0,0.0
ZL212TVG,ST16000NM001G,90,0,0.0,4855.0,0.0,0.0,38.0,0.0,0.0
ZL212XMF,ST16000NM001G,90,0,0.0,42764.0,0.0,0.0,29.0,0.0,0.0
ZL2132EV,ST16000NM001G,90,0,0.0,42099.0,1.0,0.0,35.0,0.0,0.0
ZL213J7Z,ST16000NM001G,90,0,0.0,42806.0,0.0,0.0,20.0,0.0,0.0
ZL213STQ,ST16000NM001G,90,0,0.0,11305.0,0.0,0.0,26.0,0.0,0.0
ZL214251,ST16000NM001G,90,0,0.0,42099.0,0.0,0.0,33.0,0.0,0.0
ZL214WT8,ST16000NM001G,90,0,0.0,39505.0,0.0,0.0,40.0,0.0,0.0
ZL2164AN,ST16000NM001G,44,0,0.0,1032.0,31.0,0.0,42.0,264.0,264.0
ZL216A4P,ST16000NM001G,90,0,0.0,44307.0,0.0,0.0,38.0,0.0,0.0
ZL216Q5P,ST16000NM001G,90,0,0.0,42099.0,0.0,0.0,27.0,0.0,0.0
ZL217R46,ST16000NM001G,52,0,176.0,1245.0,197.0,4295032837.0,35.0,440.0,440.0
ZL217ZQE,ST16000NM001G,36,0,0.0,621.0,0.0,0.0,44.0,0.0,0.0
ZL2186SH,ST16000NM001G,90,0,0.0,44321.0,0.0,0.0,39.0,0.0,0.0
ZL218YN6,ST16000NM001G,90,0,0.0,42795.0,0.0,0.0,26.0,0.0,0.0
ZL2190Z0,ST16000NM001G,90,0,0.0,42791.0,0.0,0.0,25.0,0.0,0.0
ZL219R1F,ST16000NM001G,90,0,0.0,45364.0,0.0,0.0,22.0,0.0,0.0
ZL219SXB,ST16000NM001G,90,0,0.0,42793.0,0.0,0.0,28.0,0.0,0.0
ZL21A5E3,ST16000NM001G,90,0,0.0,18211.0,0.0,0.0,45.0,0.0,0.0
ZL21AVQX,ST16000NM001G,44,0,0.0,1035.0,0.0,0.0,35.0,8.0,8.0
ZL21B6QQ,ST16000NM001G,90,0,0.0,36953.0,0.0,0.0,37.0,0.0,0.0
ZL21B90H,ST16000NM001G,90,0,0.0,45361.0,0.0,0.0,28.0,0.0,0.0
ZL21B9X7,ST16000NM001G,90,0,0.0,42096.0,0.0,0.0,28.0,0.0,0.0
ZL21BFWN,ST16000NM001G,90,0,0.0,11898.0,0.0,0.0,29.0,0.0,0.0
ZL21BK64,ST16000NM001G,90,0,0.0,43005.0,0.0,0.0,26.0,0.0,0.0
